73,1
1141,6
477,5
1781,9
1471,7
1534,8
846,4
1999,3
162,0
1291,2
963,5
427,9
1408,8
115,1
1933,3
1849,7
1698,6
1220,0
326,4
922,2
1322,9
1920,3
176,5
304,8
1521,0
935,4
1399,7
546,1
1567,6
187,2
410,4
1774,6
511,5
1312,3
467,1
1031,7
900,9
1213,8
1659,0
526,2
1400,7
908,3
917,1
227,6
490,9
750,5
329,8
1305,0
543,4
1709,2
1212,9
1545,4
577,7
164,1
805,6
250,8
94,5
1272,0
413,3
163,2
954,5
1741,7
865,0
745,3
1786,1
693,6
860,8
45,9
38,4
371,2
1364,6
1726,9
1974,3
1919,0
781,7
1100,4
1608,8
1279,5
1443,1
1417,2
1139,9
975,8
1252,7
30,6
69,5
569,1
568,0
797,3
552,4
1358,2
53,9
606,5
416,6
1066,7
169,1
1068,8
346,0
1326,3
1600,4
1738,2
1242,1
337,6
1391,0
524,5
1153,7
9,9
855,3
1746,4
460,8
522,2
915,5
1838,0
429,9
1047,1
276,7
1162,8
576,6
28,3
205,2
886,4
1948,4
1454,3
1192,1
1225,7
1841,6
872,9
1406,0
979,5
1988,2
1007,8
1219,8
854,5
1707,6
1970,3
422,9
1881,0
1535,7
863,4
685,1
890,2
1934,3
1607,6
1095,1
446,4
296,9
434,7
829,5
23,8
426,0
1663,2
1284,4
834,1
1547,7
868,0
892,6
1411,3
51,9
605,8
181,5
734,2
1889,3
1737,7
981,0
61,1
1691,9
1558,4
1265,5
1858,2
1624,8
579,6
168,1
1460,6
1939,3
1720,8
1830,9
206,7
1061,5
1006,0
1147,4
190,2
241,5
1710,4
316,9
159,8
763,1
1991,3
1495,6
400,2
495,7
171,0
964,9
1657,4
847,5
1660,3
728,1
1045,6
893,7
383,8
1637,0
1109,2
813,5
1375,1
715,8
1292,7
116,2
1677,6
999,9
439,0
1671,4
441,3
1465,9
1926,3
1394,4
1172,8
201,5
239,7
875,6
1425,2
1508,0
376,1
1871,6
1504,7
1478,1
1638,0
1009,4
711,9
782,5
1164,2
539,8
990,3
1938,2
1884,6
1505,1
280,8
114,5
242,9
125,7
1306,0
1631,3
997,4
156,5
633,1
704,0
1514,2
1361,3
965,7
153,9
1114,8
557,4
866,6
1980,4
885,5
1429,1
1997,3
1674,2
474,7
741,9
848,8
1718,0
1321,6
1343,5
657,1
1226,7
372,2
135,9
1591,8
1397,4
1946,3
665,6
1387,0
1393,5
835,4
1023,1
723,9
1163,8
442,7
91,2
461,6
1853,3
764,0
232,9
1294,8
141,7
1742,1
1536,6
1033,5
1996,3
66,2
1038,0
662,4
1915,4
853,7
1614,9
17,6
370,5
1747,1
1206,8
920,2
667,0
392,3
268,1
255,4
1157,9
246,8
1796,6
1013,7
642,5
493,2
1596,0
1565,3
1327,7
850,1
540,5
1189,6
1275,9
1466,8
1602,3
499,2
1281,4
281,0
157,5
538,1
1850,3
714,2
1753,8
1910,7
1902,0
1012,9
1815,6
968,4
1133,6
1202,1
1318,9
8,2
1646,7
1957,3
907,5
432,8
1502,0
207,4
1348,9
282,7
620,5
1050,6
1098,1
387,8
1351,2
1846,0
399,4
1,3
736,6
35,4
1185,7
1930,3
1779,9
1347,5
1895,2
52,8
265,1
131,0
570,1
519,5
1243,8
470,7
773,2
1530,6
1562,9
553,0
1011,3
878,4
349,9
1472,1
580,6
845,8
412,4
1278,7
1126,5
1244,0
16,2
880,3
594,2
1606,6
1651,7
1923,3
14,9
57,8
679,5
482,1
1622,0
252,4
449,4
1264,5
430,1
1115,6
1610,2
79,7
1929,3
137,8
1174,0
1286,9
733,5
637,2
630,8
220,7
1721,1
640,6
238,9
1170,0
136,4
631,3
1145,4
1705,2
941,6
395,5
1441,8
938,1
1234,7
1136,9
1360,0
118,3
1762,7
1314,5
1990,3
896,6
1487,8
100,1
358,9
1398,2
1694,0
536,4
1332,1
1150,7
1805,3
507,4
500,8
1074,2
1373,9
752,5
1916,6
1549,0
33,7
297,5
1205,2
523,1
659,9
360,6
932,8
660,4
1369,0
1483,3
1725,6
1385,1
541,7
1604,5
689,8
1130,4
794,2
110,0
772,9
942,3
1191,9
1201,8
254,6
348,5
1453,1
578,7
160,2
1334,0
1937,3
948,4
957,7
1389,1
1993,4
1030,5
1647,6
319,8
1899,3
512,9
1262,2
382,0
1395,1
485,4
1159,7
1165,2
1673,5
1297,0
362,9
